id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
335982,"Queens, New York",2008-04-18,BB McCullum,Citi Field,0,New York Mets,Chicago Cubs,New York Mets,field,Chicago Cubs,runs,140,N,NA,Asad Rauf,RE Koertzen
335983,Philadelphia,2008-04-19,MEK Hussey,Citizens Bank Park,0,Philadelphia Phillies,San Francisco Giants,San Francisco Giants,bat,San Francisco Giants,runs,33,N,NA,MR Benson,SL Shastri
335984,Washington DC,2008-04-19,MF Maharoof,Nationals Park,0,Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,bat,Washington Nationals,wickets,9,N,NA,Aleem Dar,GA Pratapkumar
335985,Cumberland,2008-04-20,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,New York Mets,Atlanta Braves,Hit,New York Mets,wickets,5,N,NA,SJ Davis,DJ Harper
335986,Chicago,2008-04-20,DJ Hussey,Guaranteed Rate Field,0,Chicago Cubs,Miami Marlins,Miami Marlins,bat,Chicago Cubs,wickets,5,N,NA,BF Bowden,K Hariharan
335987,Milwaukee,2008-04-21,SR Watson,American Family Field,0,Milwaukee Brewers,Philadelphia Phillies,Philadelphia Phillies,bat,Milwaukee Brewers,wickets,6,N,NA,Aleem Dar,RB Tiffin
335988,Cumberland,2008-04-22,V Sehwag,Truist Park,0,Miami Marlins,Washington Nationals,Miami Marlins,bat,Washington Nationals,wickets,9,N,NA,IL Howell,AM Saheba
335989,Detroit ,2008-04-23,ML Hayden,Comerica Park,0,San Francisco Giants,Atlanta Braves,Atlanta Braves,field,San Francisco Giants,runs,6,N,NA,DJ Harper,GA Pratapkumar
335990,Pittsburgh,2008-04-24,YK Pathan,PNC Park,0,Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,3,N,NA,Asad Rauf,MR Benson
335991,Philadelphia,2008-04-25,KC Sangakkara,Citizens Bank Park,0,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,field,Philadelphia Phillies,runs,66,N,NA,Aleem Dar,AM Saheba
335992,"Queens, New York",2008-04-26,SR Watson,Citi Field,0,New York Mets,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,7,N,NA,MR Benson,IL Howell
335993,Detroit ,2008-04-26,JDP Oram,Comerica Park,0,San Francisco Giants,Chicago Cubs,Chicago Cubs,bat,San Francisco Giants,wickets,9,N,NA,BF Bowden,AV Jayaprakash
335994,Cumberland,2008-04-27,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Miami Marlins,Miami Marlins,Hit,Miami Marlins,wickets,10,N,NA,Asad Rauf,SL Shastri
335995,Philadelphia,2008-04-27,SM Katich,Citizens Bank Park,0,Philadelphia Phillies,Washington Nationals,Washington Nationals,bat,Philadelphia Phillies,wickets,4,N,NA,RE Koertzen,I Shivram
335996,"Queens, New York",2008-04-28,MS Dhoni,Citi Field,0,New York Mets,San Francisco Giants,San Francisco Giants,bat,San Francisco Giants,runs,13,N,NA,BR Doctrove,RB Tiffin
335997,Chicago,2008-04-29,ST Jayasuriya,Guaranteed Rate Field,0,Chicago Cubs,Atlanta Braves,Chicago Cubs,bat,Atlanta Braves,wickets,7,N,NA,BF Bowden,AV Jayaprakash
335998,Washington DC,2008-04-30,GD McGrath,Nationals Park,0,Washington Nationals,New York Mets,New York Mets,field,Washington Nationals,runs,10,N,NA,Aleem Dar,I Shivram
335999,Pittsburgh,2008-05-01,SE Marsh,PNC Park,0,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,7,N,NA,BR Doctrove,RB Tiffin
336000,Milwaukee,2008-05-01,SA Asnodkar,American Family Field,0,Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,bat,Milwaukee Brewers,runs,45,N,NA,RE Koertzen,GA Pratapkumar
336001,Detroit ,2008-05-02,V Sehwag,Comerica Park,0,San Francisco Giants,Washington Nationals,San Francisco Giants,bat,Washington Nationals,wickets,8,N,NA,BF Bowden,K Hariharan
336002,Pittsburgh,2008-05-25,R Vinay Kumar,PNC Park,0,Miami Marlins,New York Mets,Miami Marlins,bat,New York Mets,wickets,5,N,NA,Asad Rauf,RE Koertzen
336003,Philadelphia,2008-05-03,IK Pathan,Citizens Bank Park,0,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,bat,Philadelphia Phillies,runs,9,N,NA,DJ Harper,I Shivram
336004,Cumberland,2008-05-04,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Washington Nationals,Washington Nationals,Hit,Atlanta Braves,runs,29,N,NA,IL Howell,RE Koertzen
336005,Milwaukee,2008-05-04,Sohail Tanvir,American Family Field,0,Milwaukee Brewers,San Francisco Giants,San Francisco Giants,bat,Milwaukee Brewers,wickets,8,N,NA,Asad Rauf,AV Jayaprakash
336006,"Queens, New York",2008-05-05,S Sreesanth,Citi Field,0,New York Mets,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,6,N,NA,SJ Davis,BR Doctrove
336007,Detroit ,2008-05-06,AC Gilchrist,Comerica Park,0,San Francisco Giants,Miami Marlins,Miami Marlins,field,Miami Marlins,wickets,7,N,NA,MR Benson,RB Tiffin
336008,Cumberland,2008-05-07,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Milwaukee Brewers,Atlanta Braves,Hit,Atlanta Braves,wickets,7,N,NA,DJ Harper,RE Koertzen
336009,Washington DC,2008-05-08,MS Dhoni,Nationals Park,0,Washington Nationals,San Francisco Giants,San Francisco Giants,field,San Francisco Giants,wickets,4,N,NA,Aleem Dar,RB Tiffin
336010,Chicago,2008-05-08,SC Ganguly,Guaranteed Rate Field,0,Chicago Cubs,New York Mets,Chicago Cubs,bat,Chicago Cubs,runs,5,N,NA,Asad Rauf,IL Howell
336011,Milwaukee,2008-05-09,YK Pathan,American Family Field,0,Milwaukee Brewers,Miami Marlins,Milwaukee Brewers,field,Milwaukee Brewers,wickets,8,N,NA,MR Benson,AM Saheba
336012,"Queens, New York",2008-05-28,CRD Fernando,Citi Field,0,New York Mets,Atlanta Braves,Atlanta Braves,field,Atlanta Braves,wickets,9,N,NA,BF Bowden,AV Jayaprakash
336013,Detroit ,2008-05-10,L Balaji,Comerica Park,0,San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,field,San Francisco Giants,runs,18,N,NA,AV Jayaprakash,BG Jerling
336014,Pittsburgh,2008-05-11,SC Ganguly,PNC Park,0,Miami Marlins,Chicago Cubs,Chicago Cubs,bat,Chicago Cubs,runs,23,N,NA,IL Howell,AM Saheba
336015,Milwaukee,2008-05-11,SR Watson,American Family Field,0,Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,field,Milwaukee Brewers,wickets,3,N,NA,SJ Davis,RE Koertzen
336016,Philadelphia,2008-05-12,SE Marsh,Citizens Bank Park,0,Philadelphia Phillies,New York Mets,New York Mets,bat,Philadelphia Phillies,wickets,9,N,NA,BR Doctrove,I Shivram
336017,Chicago,2008-05-13,Shoaib Akhtar,Guaranteed Rate Field,0,Chicago Cubs,Washington Nationals,Chicago Cubs,bat,Chicago Cubs,runs,23,N,NA,Asad Rauf,IL Howell
336018,Cumberland,2008-05-14,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,San Francisco Giants,Atlanta Braves,Hit,Atlanta Braves,wickets,9,N,NA,BR Doctrove,AM Saheba
336019,Philadelphia,2008-05-28,SE Marsh,Citizens Bank Park,0,Philadelphia Phillies,Milwaukee Brewers,Milwaukee Brewers,field,Philadelphia Phillies,runs,41,N,NA,SJ Davis,K Hariharan
336020,Washington DC,2008-05-15,A Mishra,Nationals Park,0,Washington Nationals,Miami Marlins,Miami Marlins,field,Washington Nationals,runs,12,N,NA,BG Jerling,GA Pratapkumar
336021,Cumberland,2008-05-16,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Chicago Cubs,Atlanta Braves,Hit,Atlanta Braves,wickets,8,N,NA,BR Doctrove,DJ Harper
336022,Washington DC,2008-05-17,DPMD Jayawardene,Nationals Park,0,Washington Nationals,Philadelphia Phillies,Washington Nationals,bat,Philadelphia Phillies,runs,6,N,D/L,AV Jayaprakash,RE Koertzen
336023,Milwaukee,2008-05-17,GC Smith,American Family Field,0,Milwaukee Brewers,New York Mets,New York Mets,field,Milwaukee Brewers,runs,65,N,NA,BF Bowden,SL Shastri
336024,Pittsburgh,2008-05-18,DJ Bravo,PNC Park,0,Miami Marlins,Atlanta Braves,Miami Marlins,field,Atlanta Braves,runs,25,N,NA,BR Doctrove,DJ Harper
336025,Chicago,2008-05-18,M Ntini,Guaranteed Rate Field,0,Chicago Cubs,San Francisco Giants,Chicago Cubs,bat,San Francisco Giants,runs,3,N,D/L,Asad Rauf,K Hariharan
336026,"Queens, New York",2008-05-19,SP Goswami,Citi Field,0,New York Mets,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,5,N,NA,SJ Davis,GA Pratapkumar
336027,Chicago,2008-05-20,YK Pathan,Guaranteed Rate Field,0,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,6,N,NA,BG Jerling,RE Koertzen
336028,Cumberland,2008-05-21,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Hit,Philadelphia Phillies,runs,1,N,NA,BF Bowden,GA Pratapkumar
336029,Detroit ,2008-05-21,A Kumble,Comerica Park,0,San Francisco Giants,New York Mets,New York Mets,bat,New York Mets,runs,14,N,NA,DJ Harper,I Shivram
336031,Philadelphia,2008-05-23,SE Marsh,Citizens Bank Park,0,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,field,Philadelphia Phillies,wickets,6,N,NA,Asad Rauf,SJ Davis
336032,Washington DC,2008-05-24,KD Karthik,Nationals Park,0,Washington Nationals,Atlanta Braves,Washington Nationals,field,Washington Nationals,wickets,5,N,NA,BF Bowden,K Hariharan
336033,Detroit ,2008-05-24,JA Morkel,Comerica Park,0,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,bat,Milwaukee Brewers,runs,10,N,NA,DJ Harper,SL Shastri
336034,"Queens, New York",2008-05-03,P Kumar,Citi Field,0,New York Mets,Miami Marlins,Miami Marlins,field,New York Mets,runs,3,N,NA,BR Doctrove,SL Shastri
336035,Chicago,2008-05-25,Umar Gul,Guaranteed Rate Field,0,Chicago Cubs,Philadelphia Phillies,Philadelphia Phillies,bat,Chicago Cubs,wickets,3,N,NA,SJ Davis,I Shivram
336036,Milwaukee,2008-05-26,Sohail Tanvir,American Family Field,0,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,field,Milwaukee Brewers,wickets,5,N,NA,BF Bowden,K Hariharan
336037,Pittsburgh,2008-05-27,SK Raina,PNC Park,0,Miami Marlins,San Francisco Giants,Miami Marlins,bat,San Francisco Giants,wickets,7,N,NA,BG Jerling,AM Saheba
336038,Cumberland,2008-05-30,SR Watson,Truist Park,0,Washington Nationals,Milwaukee Brewers,Washington Nationals,field,Milwaukee Brewers,runs,105,N,NA,BF Bowden,RE Koertzen
336039,Cumberland,2008-05-31,M Ntini,Truist Park,0,San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,bat,San Francisco Giants,wickets,9,N,NA,Asad Rauf,DJ Harper
336040,Cumberland,2008-06-01,YK Pathan,Truist Park,0,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,3,N,NA,BF Bowden,RE Koertzen
392181,Kansas City,2009-04-18,SR Tendulkar,Kauffman Stadium,1,San Francisco Giants,Atlanta Braves,San Francisco Giants,field,Atlanta Braves,runs,19,N,NA,BR Doctrove,K Hariharan
392182,Kansas City,2009-04-18,R Dravid,Kauffman Stadium,1,New York Mets,Milwaukee Brewers,New York Mets,bat,New York Mets,runs,75,N,NA,BR Doctrove,RB Tiffin
392183,Kansas City,2009-04-19,DL Vettori,Kauffman Stadium,1,Washington Nationals,Philadelphia Phillies,Washington Nationals,field,Washington Nationals,wickets,10,N,D/L,MR Benson,SD Ranade
392184,Kansas City,2009-04-19,RP Singh,Kauffman Stadium,1,Miami Marlins,Chicago Cubs,Chicago Cubs,bat,Miami Marlins,wickets,8,N,NA,MR Benson,BR Doctrove
392185,Baltimore,2009-04-20,M Muralitharan,Oriole Park at Camden Yards,1,New York Mets,San Francisco Giants,San Francisco Giants,bat,San Francisco Giants,runs,92,N,NA,BG Jerling,SJA Taufel
392186,Toronto,2009-04-21,CH Gayle,	Rogers Centre,1,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,field,Chicago Cubs,runs,11,N,D/L,DJ Harper,SD Ranade
392188,Kansas City,2009-04-22,AC Gilchrist,Kauffman Stadium,1,New York Mets,Miami Marlins,Miami Marlins,bat,Miami Marlins,runs,24,N,NA,M Erasmus,AM Saheba
392189,Toronto,2009-04-23,AB de Villiers,	Rogers Centre,1,San Francisco Giants,Washington Nationals,Washington Nationals,bat,Washington Nationals,runs,9,N,NA,BR Doctrove,SJA Taufel
392190,Kansas City,2009-04-23,YK Pathan,Kauffman Stadium,1,Chicago Cubs,Milwaukee Brewers,Chicago Cubs,field,Milwaukee Brewers,tie,NA,Y,NA,MR Benson,M Erasmus
392191,Toronto,2009-04-24,RS Bopara,	Rogers Centre,1,New York Mets,Philadelphia Phillies,New York Mets,bat,Philadelphia Phillies,wickets,7,N,NA,BR Doctrove,TH Wijewardene
